year,mon,yrmn,tmax,tmin,tavg,emxt,emnt,htdd,cldd,prcp,emxp,dp01,dp05,dp10,snow,emsd,awnd
2013,1,2013,5.7,-0.4,2.6,13.3,-6.7,486.9,0,34.5,6.4,11,0,0,,,1.9
2013,2,2013.0833,10.2,2.3,6.3,13.9,-2.8,337.9,0,41,11.2,14,0,0,,,2.6
2013,3,2013.1667,14.5,3,8.7,22.2,-2.2,298.1,0,54.2,12.7,12,1,0,,,2.2
2013,4,2013.25,17,4.6,10.8,25.6,-0.5,225.7,0,36.8,11.9,10,0,0,,0,2.7
2013,5,2013.3333,21.1,6.9,14,30,1.1,137.1,2.5,51.7,13,13,1,0,,0,3.1
2013,6,2013.4167,25,9.8,17.4,35.6,4.4,54,25.3,28.1,18.3,7,1,0,0,0,2.5
2013,7,2013.5,30.6,10.8,20.7,35.6,6.1,4.5,77.7,0,0,0,0,0,0,0,3.4
2013,8,2013.5833,28.6,12.7,20.7,35,7.8,7.1,79.2,6.4,3.8,4,0,0,0,0,2.5
2013,9,2013.6667,23.1,11.9,17.5,32.2,5,57,33.1,179.8,48.3,15,6,1,,0,3.2
2013,10,2013.75,16.5,3.9,10.2,25.6,-2.1,251.7,0,14.8,8.4,6,0,0,,0,1.7
2013,11,2013.8333,11.1,2.6,6.8,17.8,-7.1,345.5,0,54.2,10.9,14,0,0,,,2.4
2013,12,2013.9167,4.9,-3.2,0.8,13.3,-23.2,542.6,0,37.7,15.5,8,2,0,,0,2.1
2014,1,2014,7.8,0.8,4.3,13.3,-4.3,435.5,0,65.4,17.5,11,2,0,,0,2.4
2014,2,2014.0833,9.1,1.9,5.5,17.2,-6.6,359.9,0,202.6,34.3,22,6,3,,178,3.5
2014,3,2014.1667,14.9,4.1,9.5,23.3,-2.1,273.3,0,165.9,25.7,19,6,1,,0,3.5
2014,4,2014.25,17.4,5,11.2,27.8,1.1,214,0,61.8,11.9,15,0,0,,0,3.2
2014,5,2014.3333,21.7,7.3,14.5,31.1,1.7,118.7,1.1,41.8,11.4,12,0,0,,0,2.9
2014,6,2014.4167,23.8,8.8,16.3,29.4,3.9,63.1,2.2,32.8,17,9,1,0,0,0,3.2
2014,7,2014.5,30.9,12.3,21.6,36.1,8.3,3.6,103.6,9.4,5.3,4,0,0,0,0,3.2
2014,8,2014.5833,31,12.8,21.9,38.3,7.2,0.6,110.9,5,4.1,4,0,0,0,0,2.8
2014,9,2014.6667,27.2,10.1,18.6,36.7,6.1,20.8,30,31.8,18.5,7,1,0,0,0,2.8
2014,10,2014.75,21.2,9,15.1,30,4.4,104.1,3.6,119.6,31,18,2,1,,0,2.9
2014,11,2014.8333,11.3,3.2,7.2,19.4,-6.6,332.7,0,134.2,40.6,15,4,1,,0,3.1
2014,12,2014.9167,10,3.6,6.8,16.7,-7.1,356.7,0,179.3,40.6,23,5,1,,0,2.9
2015,1,2015,10.4,2.6,6.5,20,-6,367.5,0,60.7,33.8,10,2,1,,0,1.9
2015,2,2015.0833,13.8,4.2,9,18.3,-3.2,261,0,105.7,23.1,11,4,0,,0,2.9
2015,3,2015.1667,17,4,10.5,22.2,-3.2,242.8,0,80.7,25.9,12,2,1,,0,2.5
2015,4,2015.25,16.6,3,9.8,25,0.6,255.2,0,37.4,7.4,12,0,0,,0,2.7
2015,5,2015.3333,21.2,7.9,14.5,29.4,2.2,120.1,2.5,24.1,7.6,12,0,0,,0,2.4
2015,6,2015.4167,28.7,10.4,19.5,36.7,5,24.8,60.8,5.8,5.3,2,0,0,0,0,3.3
2015,7,2015.5,31.2,12.6,21.9,40.6,8.3,3.1,114.9,1.4,0.8,3,0,0,0,0,3.4
2015,8,2015.5833,29.9,12.2,21,37.8,7.2,1.7,85.3,5.8,3,2,0,0,0,0,3.3
2015,9,2015.6667,25,8.1,16.6,33.9,3.3,69.8,16.4,19.5,11.9,8,0,0,0,0,3
2015,10,2015.75,21.4,7.6,14.5,28.9,0.6,121.5,2.5,62.1,28.7,11,1,1,,0,2.7
2015,11,2015.8333,11.3,1.4,6.4,18.3,-8.2,359.4,0,71.2,16.8,16,1,0,,0,3.1
2015,12,2015.9167,9.5,3.7,6.6,16.7,-4.3,363.7,0,345.5,41.9,26,11,4,,0,4.3
