month, m,Kext,Kn,Ln,Qn,Qe,Qh,Qg, bowen,alb, ta, tas, ts, ua, va,omg, uas, vas,slp, Qdv,shm, clt, pre,evap, pme,sm,ro, dS,snd
Jan,1,-4.943,-1.084,0.1847,-0.8997,-0.6598,6.91E-02,-0.309,2.826,0.9303,-0.6828,-0.6185,-0.6181,-0.7659,-0.4554,7.08E-04,7.96E-02,-7.92E-04,108.2,1.69E-10,-9.12E-05,7.61E-02,-6.95E-02,-2.22E-02,-4.73E-02,6.109,-2.82E-02,-2.45E-02,1.15E-02
Feb,2,-7.21,-2.494,0.8633,-1.631,-0.8606,-0.2386,-0.5319,5.80E-02,1.304,-0.6987,-0.738,-0.7487,-9.16E-02,-0.2986,-1.22E-03,0.1236,-3.44E-03,-30.6,-2.86E-11,-8.06E-05,0.8425,-1.98E-02,-2.92E-02,9.39E-03,5.97,-3.30E-02,4.12E-02,1.48E-02
Mar,3,-11.57,-5.251,2.08,-3.17,-1.405,0.8693,-2.635,0.1058,1.765,-1.442,-1.471,-1.452,-0.5966,-0.1428,-2.58E-04,-0.1233,-0.1196,57.08,6.27E-11,-1.87E-04,1.534,-6.73E-02,-4.98E-02,-1.75E-02,2.226,-0.1548,0.1373,2.74E-02
Apr,4,-10.06,-7.502,2.652,-4.85,-1.16,-1.407,-2.283,-4.24E-02,1.49,-1.838,-1.81,-1.82,-0.3535,-0.2941,6.37E-04,-0.1684,-0.1127,67.5,-4.33E-11,-2.27E-04,1.465,-1.14E-02,-4.25E-02,3.11E-02,-8.022,3.87E-02,-7.62E-03,3.74E-02
May,5,1.849,1.911,-2.77E-02,1.883,0.1922,-0.2323,1.923,-9.97E-02,0.3063,-0.6914,-0.7393,-0.7458,-0.394,5.84E-02,6.20E-04,-0.1341,-5.79E-03,-16.96,-5.21E-11,-1.17E-04,0.3167,-2.21E-03,6.36E-03,-8.57E-03,-7.749,0.1337,-0.1423,4.78E-03
Jun,6,18.5,11.39,-2.357,9.037,2.215,4.339,2.483,-0.2305,-2.58E-02,0.7567,0.7095,0.7819,-0.4828,0.1795,-7.79E-04,-7.53E-02,-2.97E-03,-170.5,-8.92E-11,6.12E-05,0.2289,2.11E-02,7.65E-02,-5.55E-02,-3.578,-1.69E-03,-5.38E-02,1.20E-05
Jul,7,27.08,16.22,-3.681,12.54,2.127,7.381,3.029,1.91,-6.16E-02,2.432,2.359,2.489,-0.2233,0.4293,-9.03E-04,-0.1522,-1.99E-02,-282.4,-5.39E-10,4.57E-04,-1.188,1.32E-02,7.35E-02,-6.03E-02,-3.229,2.64E-03,-6.29E-02,5.72E-08
Aug,8,19.95,13.47,-4.166,9.302,1.112,6.407,1.784,9.94E+09,-2.87E-02,3.077,2.928,3.034,-0.3914,0.364,-8.09E-04,-0.2547,-3.58E-02,-265.3,-2.07E-10,5.66E-04,-1.908,4.30E-02,3.84E-02,4.61E-03,-3.685,1.93E-02,-1.47E-02,-1.49E-05
Sep,9,2.917,1.944,-1.804,0.1404,-0.1672,1.315,-1.007,3.93E+13,3.36E-02,1.305,1.198,1.222,0.2825,0.355,-4.32E-04,-0.1269,-1.96E-02,-98.25,6.90E-11,1.70E-04,-1.071,-3.45E-03,-5.68E-03,2.23E-03,-3.679,5.20E-03,-2.97E-03,-2.47E-04
Oct,10,-10.95,-6.312,2.359,-3.953,-0.2974,-2.27,-1.386,-0.8301,0.2792,9.69E-02,-5.84E-02,-8.82E-02,0.2607,8.41E-02,-1.18E-04,3.07E-02,8.13E-02,27.61,-4.74E-11,2.18E-05,1.674,4.69E-02,-9.83E-03,5.67E-02,-1.93,5.35E-04,5.62E-02,5.58E-04
