Cirque,Lat,Lon,Elev,Region,Glacier
  1,45.358,-117.475,2231,WL,U
  2,45.258,-117.492,2024,WL,U
  3,45.292,-117.442,2256,WL,U
  4,45.308,-117.433,2268,WL,U
  5,45.267,-117.333,2646,WL,U
  6,45.258,-117.358,2561,WL,U
  7,45.167,-117.367,2348,WL,U
  8,45.133,-117.333,2220,WL,U
  9,45.175,-117.267,2512,WL,U
 10,45.167,-117.308,2439,WL,U
 11,45.200,-117.308,2256,WL,U
 12,45.050,-117.250,2561,WL,U
 13,45.117,-117.450,2256,WL,U
 14,45.091,-117.391,2198,WL,U
 15,45.067,-117.283,2402,WL,U
 16,45.083,-117.367,2134,WL,U
 17,45.142,-117.250,2500,WL,U
 18,45.141,-117.467,2147,WL,U
 19,45.200,-117.450,2378,WL,U
 20,45.250,-117.583,2134,WL,U
 21,45.150,-117.500,2317,WL,U
 22,45.242,-117.550,2165,WL,U
 23,45.200,-117.533,2146,WL,U
 24,45.233,-117.617,1951,WL,U
 25,45.200,-117.367,2390,WL,U
 26,43.433,-122.733,1354,CR,U
 27,45.025,-122.358,1036,CR,U
 28,44.633,-122.583,1085,CR,U
 29,44.658,-122.591, 939,CR,U
 30,44.791,-122.225,1049,CR,U
 31,44.867,-122.142,1171,CR,U
 32,44.758,-122.208,1122,CR,U
 33,44.867,-122.225,1098,CR,U
 34,44.542,-122.308,1110,CR,U
 35,44.567,-122.342,1098,CR,U
 36,45.108,-122.283,1159,CR,U
 37,44.655,-122.575, 926,CR,U
 38,44.642,-122.567,1024,CR,U
 39,44.641,-122.550,1012,CR,U
 40,45.150,-122.000,1305,CR,U
 41,45.179,-122.017,1195,CR,U
 42,45.117,-122.242, 976,CR,U
 43,44.541,-122.283,1220,CR,U
 44,44.483,-122.283, 976,CR,U
 45,44.608,-122.450,1092,CR,U
 46,45.408,-122.142,1281,CR,U
 47,44.825,-122.283,1098,CR,U
 48,44.792,-122.267,1037,CR,U
 49,44.900,-122.417,1110,CR,U
 50,44.900,-122.400,1152,CR,U
