year,param,1,2,3,4,5,6,7,8,9,10,11,12
2013,prcp,34.5,41,54.2,36.8,51.7,28.1,0,6.4,179.8,14.8,54.2,37.7
2013,emxp,6.4,11.2,12.7,11.9,13,18.3,0,3.8,48.3,8.4,10.9,15.5
2013,dp01,11,14,12,10,13,7,0,4,15,6,14,8
2013,dp05,0,0,1,0,1,1,0,0,6,0,0,2
2013,dp10,0,0,0,0,0,0,0,0,1,0,0,0
2014,prcp,65.4,202.6,165.9,61.8,41.8,32.8,9.4,5,31.8,119.6,134.2,179.3
2014,emxp,17.5,34.3,25.7,11.9,11.4,17,5.3,4.1,18.5,31,40.6,40.6
2014,dp01,11,22,19,15,12,9,4,4,7,18,15,23
2014,dp05,2,6,6,0,0,1,0,0,1,2,4,5
2014,dp10,0,3,1,0,0,0,0,0,0,1,1,1
2015,prcp,60.7,105.7,80.7,37.4,24.1,5.8,1.4,5.8,19.5,62.1,71.2,345.5
2015,emxp,33.8,23.1,25.9,7.4,7.6,5.3,0.8,3,11.9,28.7,16.8,41.9
2015,dp01,10,11,12,12,12,2,3,2,8,11,16,26
2015,dp05,2,4,2,0,0,0,0,0,0,1,1,11
2015,dp10,1,0,1,0,0,0,0,0,0,1,0,4
