year,param,1,2,3,4,5,6,7,8,9,10,11,12
2013,tmax,5.7,10.2,14.5,17,21.1,25,30.6,28.6,23.1,16.5,11.1,4.9
2013,tmin,-0.4,2.3,3,4.6,6.9,9.8,10.8,12.7,11.9,3.9,2.6,-3.2
2013,tavg,2.6,6.3,8.7,10.8,14,17.4,20.7,20.7,17.5,10.2,6.8,0.8
2013,emxt,13.3,13.9,22.2,25.6,30,35.6,35.6,35,32.2,25.6,17.8,13.3
2013,emnt,-6.7,-2.8,-2.2,-0.5,1.1,4.4,6.1,7.8,5,-2.1,-7.1,-23.2
2014,tmax,7.8,9.1,14.9,17.4,21.7,23.8,30.9,31,27.2,21.2,11.3,10
2014,tmin,0.8,1.9,4.1,5,7.3,8.8,12.3,12.8,10.1,9,3.2,3.6
2014,tavg,4.3,5.5,9.5,11.2,14.5,16.3,21.6,21.9,18.6,15.1,7.2,6.8
2014,emxt,13.3,17.2,23.3,27.8,31.1,29.4,36.1,38.3,36.7,30,19.4,16.7
2014,emnt,-4.3,-6.6,-2.1,1.1,1.7,3.9,8.3,7.2,6.1,4.4,-6.6,-7.1
2015,tmax,10.4,13.8,17,16.6,21.2,28.7,31.2,29.9,25,21.4,11.3,9.5
2015,tmin,2.6,4.2,4,3,7.9,10.4,12.6,12.2,8.1,7.6,1.4,3.7
2015,tavg,6.5,9,10.5,9.8,14.5,19.5,21.9,21,16.6,14.5,6.4,6.6
2015,emxt,20,18.3,22.2,25,29.4,36.7,40.6,37.8,33.9,28.9,18.3,16.7
2015,emnt,-6,-3.2,-3.2,0.6,2.2,5,8.3,7.2,3.3,0.6,-8.2,-4.3
