day,hot,total,hotp,tmin,tmax,degday,trange,precip,dewpt,wind,rh7pm,rhmin,adv,week,api,wx,sky
31,84,212,0.396226415,1.1,9.4,12.8,8.3,0.0,2.8,3.1,96,69,1,5,72,2,100
43,99,212,0.466981132,-1.7,2.2,17.8,3.9,0.0,1.1,5.9,100,96,1,3,51,2,100
30,61,227,0.268722467,1.1,8.9,13.3,7.8,0.0,3.3,3.7,96,77,1,4,63,2,90
49,146,311,0.469453376,-0.6,6.1,15.6,6.7,0.0,0.0,4.0,100,79,1,2,48,2,60
59,80,311,0.257234727,2.2,5.0,14.4,2.8,0.0,3.3,4.5,100,93,1,5,41,2,100
32,111,388,0.286082474,-0.6,9.4,13.9,10.0,2.5,3.9,2.8,96,80,1,5,72,2,100
52,93,373,0.249329759,0.6,7.2,14.4,6.7,0.0,2.8,4.0,96,89,1,5,79,2,100
82,95,388,0.244845361,-1.7,11.7,13.3,13.3,0.0,2.2,6.6,83,59,1,7,47,2,90
80,134,388,0.345360825,-1.7,6.7,15.6,8.3,0.0,0.0,5.3,96,71,1,5,58,28,70
56,115,388,0.296391753,1.1,6.1,14.4,5.0,0.0,1.7,3.8,100,86,1,2,51,28,80
50,156,388,0.402061856,-0.6,7.2,15.0,7.8,0.0,1.1,4.4,100,89,1,3,67,28,100
44,112,388,0.288659794,0.6,2.8,16.7,2.2,0.0,1.7,3.5,100,96,1,4,61,2,100
45,129,388,0.332474227,0.0,1.7,17.2,1.7,0.0,0.6,6.5,100,96,1,5,48,2,100
42,161,388,0.414948454,-2.2,6.1,16.1,8.3,0.0,0.0,3.3,96,76,1,2,69,28,90
79,102,388,0.262886598,-2.2,3.9,17.2,6.1,0.0,0.0,4.5,96,79,1,4,69,28,80
48,168,388,0.432989691,0.6,2.2,16.7,1.7,0.0,0.6,5.7,92,85,1,1,46,1,100
29,93,388,0.239690722,2.2,5.0,14.4,2.8,0.0,2.8,5.0,96,93,1,3,41,2,100
115,63,388,0.162371134,4.4,15.6,8.3,11.1,0.0,6.1,4.8,93,70,0,5,50,2,90
85,99,388,0.255154639,-2.2,5.0,16.7,7.2,0.0,0.6,2.7,100,86,0,3,49,2,100
12,53,388,0.136597938,6.1,12.8,8.9,6.7,31.0,8.9,10.3,96,77,0,7,18,1,100
70,48,388,0.12371134,6.1,17.2,6.7,11.1,24.4,8.3,18.4,93,54,0,2,12,0,100
28,143,388,0.368556701,1.1,11.1,12.2,10.0,0.0,3.3,4.9,100,77,0,2,58,2,40
110,152,388,0.391752577,-3.9,5.0,17.8,8.9,0.0,-2.8,6.7,85,62,0,7,50,0,0
75,95,388,0.244845361,3.3,10.0,11.7,6.7,3.8,6.7,3.4,96,80,0,7,33,0,100
95,121,388,0.31185567,2.2,10.0,12.2,7.8,19.6,3.3,10.3,93,80,0,6,19,0,100
17,69,388,0.177835052,8.9,13.9,6.7,5.0,2.8,10.0,7.6,96,87,0,5,40,1,100
102,162,388,0.417525773,5.6,13.3,8.9,7.8,0.0,7.2,10.0,86,67,0,6,27,0,100
62,113,388,0.291237113,1.1,7.8,13.9,6.7,16.5,4.4,8.3,100,89,0,1,20,0,100
65,77,388,0.198453608,5.6,9.4,10.6,3.9,8.1,5.6,13.8,86,74,0,4,46,0,100
6,87,388,0.224226804,2.8,11.1,11.1,8.3,11.9,7.8,11.4,96,83,0,1,23,1,100
90,101,388,0.260309278,3.9,8.3,12.2,4.4,21.6,3.9,15.0,89,77,0,1,16,0,100
38,119,388,0.306701031,6.7,13.9,7.8,7.2,12.7,8.3,9.7,93,69,0,5,29,0,70
2,109,410,0.265853659,-2.2,15.6,11.7,17.8,0.0,2.8,3.6,80,53,0,4,76,1,70
