Location,Reach,HU,CumLen,Length,DepthWS,WidthWS,WidthBF,HUAreaWS,HUAreaBF,wsgrad
HUA-1,A,R,9.20,9.20,0.12,4.10,9.00,37.72,82.80,0.008696
HUA-2,A,G,29.70,20.50,0.21,3.98,9.63,81.66,197.48,0.002927
HUA-3,A,R,51.20,21.50,0.10,4.46,11.43,95.83,245.75,0.001395
HUA-4,A,R,61.20,10.00,0.10,3.57,8.80,35.67,88.00,0.071000
HUA-5,A,G,72.40,11.20,0.19,2.90,5.27,32.48,58.99,-0.000893
HUA-6,A,P,91.40,19.00,0.10,5.04,8.72,95.76,165.68,0.006316
HUA-7,A,R,109.60,18.20,0.13,2.80,7.20,50.96,131.04,0.009341
HUA-8,A,P,120.30,10.70,0.27,3.90,6.83,41.73,73.12,0.006542
HUA-9,A,R,123.00,2.70,0.13,3.80,5.30,10.26,14.31,0.007407
HUA-10,A,G,133.20,10.20,0.24,3.83,5.80,39.10,59.16,0.013725
HUA-11,A,R,142.00,8.80,0.14,4.08,8.90,35.86,78.32,0.003409
HUA-12,A,P,151.20,9.20,0.32,3.45,7.68,31.74,70.61,0.008696
HUA-13,A,R,165.00,13.80,0.11,3.98,7.86,54.92,108.47,0.013768
HUA-14,A,G,176.90,11.90,0.17,4.58,8.84,54.50,105.20,0.000000
HUA-15,A,R,183.70,6.80,0.12,5.30,10.95,36.04,74.46,0.014706
HUA-16,A,G,191.90,8.20,0.17,4.53,9.83,37.11,80.57,0.026829
HUA-17,A,R,197.60,5.70,0.15,4.23,10.17,24.13,57.95,-0.014035
HUA-18,A,G,210.60,13.00,0.18,4.08,10.23,52.98,132.93,0.007692
HUA-19,A,R,219.00,8.40,0.11,3.63,9.88,30.45,82.95,-0.008333
HUA-20,A,P,228.40,9.40,0.31,3.38,8.80,31.73,82.72,0.027660
HUB-1,B,P,230.00,3.60,0.45,3.03,3.70,10.92,13.32,0.024124
HUB-2,B,R,232.00,3.40,0.15,4.03,5.30,13.71,18.02,0.020588
HUB-3,B,P,235.40,12.20,0.26,4.01,6.01,48.97,73.37,-0.006557
HUB-4,B,P,247.60,23.20,0.51,3.24,7.44,75.27,172.71,0.000862
HUB-5(LC),B,R,270.80,19.10,0.14,1.93,8.03,36.84,153.35,0.008490
HUB-5(RC),B,R,284.45,27.30,0.20,1.16,4.10,31.59,111.93,0.016117
HUB-6,B,R,298.10,5.00,0.24,1.90,9.37,9.50,46.83,-0.016000
HUB-7,B,P,303.10,13.00,0.43,2.53,7.33,32.93,95.33,0.017692
HUB-8,B,R,316.10,4.10,0.19,2.17,4.90,8.88,20.09,0.014634
HUB-9,B,G,320.20,7.30,0.27,2.27,5.73,16.55,41.85,-0.015068
HUB-10,B,R,327.50,6.30,0.18,2.00,5.67,12.60,35.70,0.025397
HUB-11,B,P,333.80,19.80,0.49,2.86,7.36,56.68,145.78,0.001010
HUB-12,B,G,353.60,7.20,0.23,2.88,7.10,20.70,51.12,0.004167
HUB-13,B,R,360.80,6.40,0.11,3.60,8.00,23.04,51.20,0.009375
HUB-14,B,P,367.20,11.70,0.39,2.15,8.78,25.16,102.67,0.004274
HUB-15,B,R,378.90,11.30,0.16,1.98,10.54,22.37,119.10,0.030973
HUB-16,B,P,390.20,4.40,0.20,2.20,8.60,9.68,37.84,-0.040909
HUB-17,B,R,394.60,12.30,0.19,1.84,8.70,22.63,107.01,-0.005691
HUB-18,B,G,406.90,14.90,0.26,2.52,7.27,37.50,108.27,0.011409
HUB-19,B,R,421.80,5.00,0.14,1.60,7.97,8.00,39.83,0.038000
HUB-20,B,P,426.80,7.40,0.35,3.85,7.90,28.49,58.46,0.010811
HUB-21,B,G,434.20,10.10,0.22,3.15,8.40,31.82,84.84,0.000990
HUB-22,B,R,444.30,8.30,0.19,2.64,8.16,21.91,67.73,0.010843
HUB-23,B,P,452.60,4.30,0.28,2.53,5.77,10.89,24.80,0.006977
HUB-24,B,R,456.90,3.50,0.24,2.50,4.47,8.75,15.63,0.014286
HUB-25,B,G,460.40,14.80,0.23,2.52,5.77,37.25,85.35,0.003378
HUB-26,B,R,475.20,4.60,0.13,1.85,7.20,8.51,33.12,0.050000
HUB-27,B,G,479.80,15.00,0.25,1.92,5.92,28.75,88.75,0.006000
HUB-28,B,R,494.80,4.30,0.24,2.05,8.23,8.82,35.37,0.020930
HUB-29,B,G,499.10,8.60,0.32,2.88,8.48,24.73,72.89,-0.009302
HUB-30,B,R,507.70,5.70,0.26,2.58,8.85,14.68,50.45,0.021053
HUB-31,B,G,513.40,5.60,0.29,2.53,7.63,14.14,42.70,0.003571
HUB-32,B,R,519.00,4.70,0.15,2.03,7.35,9.52,34.55,0.034043
HUB-33,B,P,523.70,8.50,0.32,2.43,8.20,20.61,69.70,-0.001176
HUB-34,B,G,532.20,15.80,0.19,2.30,8.58,36.34,135.62,0.004430
